Dia,COVID-19: (Portugal)
2021-01-01,40
2021-01-02,39
2021-01-03,40
2021-01-04,43
2021-01-05,42
2021-01-06,59
2021-01-07,84
2021-01-08,62
2021-01-09,56
2021-01-10,49
2021-01-11,59
2021-01-12,75
2021-01-13,66
2021-01-14,66
2021-01-15,50
2021-01-16,53
2021-01-17,68
2021-01-18,80
2021-01-19,82
2021-01-20,100
2021-01-21,86
2021-01-22,69
2021-01-23,72
2021-01-24,56
2021-01-25,53
2021-01-26,72
2021-01-27,64
2021-01-28,82
2021-01-29,57
2021-01-30,45
2021-01-31,49
2021-02-01,44
2021-02-02,55
2021-02-03,58
2021-02-04,51
2021-02-05,38
2021-02-06,42
2021-02-07,35
2021-02-08,43
2021-02-09,40
2021-02-10,37
2021-02-11,38
2021-02-12,37
2021-02-13,37
2021-02-14,32
2021-02-15,52
2021-02-16,46
2021-02-17,35
2021-02-18,36
2021-02-19,41
2021-02-20,32
2021-02-21,31
2021-02-22,31
2021-02-23,33
2021-02-24,33
2021-02-25,31
2021-02-26,38
2021-02-27,28
2021-02-28,30
2021-03-01,26
2021-03-02,29
2021-03-03,29
2021-03-04,27
2021-03-05,27
2021-03-06,34
2021-03-07,27
2021-03-08,27
2021-03-09,29
2021-03-10,27
2021-03-11,36
2021-03-12,29
2021-03-13,31
2021-03-14,26
2021-03-15,30
2021-03-16,25
2021-03-17,27
2021-03-18,26
2021-03-19,26
2021-03-20,30
2021-03-21,28
2021-03-22,30
2021-03-23,35
2021-03-24,31
2021-03-25,30
2021-03-26,31
2021-03-27,30
2021-03-28,25
2021-03-29,29
2021-03-30,27
2021-03-31,27
2021-04-01,28
2021-04-02,29
2021-04-03,28
